"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped tests","IGNORED","2023-09-30T18:45:58.305+05:30[Asia/Calcutta]","0.0","0.02"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","FAILURE","2023-09-30T18:45:58.319+05:30[Asia/Calcutta]","0.0","2.49"
"Student CRUD test","This test will create a new student","SUCCESS","2023-09-30T18:45:58.333+05:30[Asia/Calcutta]","0.0","2.99"
"First serenity test","This is a manual test","PENDING","2023-09-30T18:45:58.348+05:30[Asia/Calcutta]","0.0","0.0"
"First serenity test","This is a file not found test","COMPROMISED","2023-09-30T18:45:58.353+05:30[Asia/Calcutta]","0.0","0.03"
"First serenity test","This is a test with error","ERROR","2023-09-30T18:45:58.381+05:30[Asia/Calcutta]","0.0","0.01"
"First serenity test","This is a pending tests","PENDING","2023-09-30T18:45:58.387+05:30[Asia/Calcutta]","0.0","0.0"
"First serenity test","Get all students","SUCCESS","2023-09-30T18:45:58.389+05:30[Asia/Calcutta]","0.0","2.74"
"Tags test","Provide a 405 status code when incorrect http method is used to access a resource","SUCCESS","2023-09-30T18:46:00.903+05:30[Asia/Calcutta]","0.0","0.06"
"Tags test","This test will verify if a status code of 200 is returned for GET response","SUCCESS","2023-09-30T18:46:00.963+05:30[Asia/Calcutta]","0.0","0.1"
"First serenity test","This is a failing tests","FAILURE","2023-09-30T18:46:01.126+05:30[Asia/Calcutta]","0.0","0.11"
"Student CRUD test","Verify if the Student was added to the application","SUCCESS","2023-09-30T18:46:01.358+05:30[Asia/Calcutta]","0.0","1.11"
"Student CRUD test","Update the user information and verify the user information","SUCCESS","2023-09-30T18:46:02.473+05:30[Asia/Calcutta]","0.0","0.16"
"Student CRUD test","Delete the information of the student","SUCCESS","2023-09-30T18:46:02.638+05:30[Asia/Calcutta]","0.0","0.04"
